                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.2"                                 "CRMATH"                               "20241026"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                              cz_bot_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      705                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  2.0160828099357427E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  2.0160828099357427E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671744958964E+000                  2.9036294927018069E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671744958964E+000                  2.9036294927018069E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209205119158E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209205119158E+000                 -5.1063209205585718E+000                 -1.5075198928548623E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642677731262565E+003                  3.6399113892177377E+000                  1.2149086804341147E+000                  8.4543635075040188E-002                  1.9279785596687653E+000                  2.8510219996654246E-001                  3.8678632273700480E+000                  0.0000000000000000E+000                  1.4816792334385024E+001                  8.6741249322695876E-002                  6.6055685784177225E+000                  6.2124222016505815E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999940E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                       5                                      705                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2434005154950302E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2434005154950302E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671748685572E+000                  2.9036294921581041E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671748685572E+000                  2.9036294921581041E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209204817399E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209204817399E+000                 -5.1063209205283959E+000                 -1.5075198928984753E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642724848309908E+003                  3.6399118580859118E+000                  1.2149139297292109E+000                  8.4545511541153071E-002                  1.9279785618738157E+000                  2.8510220046324980E-001                  3.8678632263766333E+000                  0.0000000000000000E+000                  1.4816792334409843E+001                  8.6741249340783116E-002                  6.6055685784244371E+000                  6.2124222016505426E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      10                                      705                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432073198749553E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432073198749553E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671719106968E+000                  2.9036294889237096E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671719106968E+000                  2.9036294889237096E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209204231486E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.1063209204231486E+000                 -5.1063209204698046E+000                 -1.5075198932135709E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642708613099630E+003                  3.6399116965271738E+000                  1.2149121173819288E+000                  8.4544863682081167E-002                  1.9279785582688120E+000                  2.8510219965119038E-001                  3.8678632280007523E+000                  0.0000000000000000E+000                  1.4816792334509756E+001                  8.6741249409898941E-002                  6.6055685784550882E+000                  6.2124222016503583E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      15                                      705                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431360945945678E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431360945945678E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671705322060E+000                  2.9036294740331936E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671705322060E+000                  2.9036294740331936E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209204475850E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209204475850E+000                 -5.1063209204942401E+000                 -1.5075198948908392E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642703356154743E+003                  3.6399116442146027E+000                  1.2149115300158113E+000                  8.4544653716338208E-002                  1.9279785566807288E+000                  2.8510219929346037E-001                  3.8678632287162125E+000                  0.0000000000000000E+000                  1.4816792334881434E+001                  8.6741249655804431E-002                  6.6055685785801677E+000                  6.2124222016495978E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      20                                      705                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431447055915968E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431447055915968E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671699803605E+000                  2.9036294364590232E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671699803605E+000                  2.9036294364590232E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209208150617E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209208150617E+000                 -5.1063209208617177E+000                 -1.5075199002878405E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702371261230E+003                  3.6399116344137932E+000                  1.2149114196022350E+000                  8.4544614246790092E-002                  1.9279785560896123E+000                  2.8510219916030610E-001                  3.8678632289825208E+000                  0.0000000000000000E+000                  1.4816792335989806E+001                  8.6741250377892293E-002                  6.6055685789641849E+000                  6.2124222016472475E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      25                                      705                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432838574615215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432838574615215E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671692244592E+000                  2.9036293918067335E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671692244592E+000                  2.9036293918067335E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209213796901E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209213796901E+000                 -5.1063209214263461E+000                 -1.5075199101480818E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702421793974E+003                  3.6399116349166514E+000                  1.2149114242790304E+000                  8.4544615918604515E-002                  1.9279785553357707E+000                  2.8510219899049649E-001                  3.8678632293221402E+000                  0.0000000000000000E+000                  1.4816792338359056E+001                  8.6741251941172007E-002                  6.6055685797656221E+000                  6.2124222016423647E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      30                                      705                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2439223465571858E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2439223465571858E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671670715777E+000                  2.9036293558732562E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671670715777E+000                  2.9036293558732562E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209207911440E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209207911440E+000                 -5.1063209208378000E+000                 -1.5075199217072488E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702480804546E+003                  3.6399116355038736E+000                  1.2149114281397129E+000                  8.4544617298682970E-002                  1.9279785531853322E+000                  2.8510219850609092E-001                  3.8678632302909515E+000                  0.0000000000000000E+000                  1.4816792342690176E+001                  8.6741254891490788E-002                  6.6055685811395639E+000                  6.2124222016340946E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      35                                      705                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2468452854803844E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2468452854803844E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671614455714E+000                  2.9036293261434626E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671614455714E+000                  2.9036293261434626E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063209146556874E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209146556874E+000                 -5.1063209147023434E+000                 -1.5075199295580170E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702482644445E+003                  3.6399116355221826E+000                  1.2149114212545136E+000                  8.4544614837430240E-002                  1.9279785475596138E+000                  2.8510219723884733E-001                  3.8678632328254383E+000                  0.0000000000000000E+000                  1.4816792350682864E+001                  8.6741260560288816E-002                  6.6055685834542279E+000                  6.2124222016204134E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
                                      40                                      705                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2605747234508306E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2605747234508306E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671473049014E+000                  2.9036292909207412E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671473049014E+000                  2.9036292909207412E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445520863E-002                 -5.1063208904625963E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063208904625963E+000                 -5.1063208905092523E+000                 -1.5075199270519816E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702454369983E+003                  3.6399116352408196E+000                  1.2149114002839978E+000                  8.4544607341098241E-002                  1.9279785334183772E+000                  2.8510219405340675E-001                  3.8678632391963195E+000                  0.0000000000000000E+000                  1.4816792366730917E+001                  8.6741272359385668E-002                  6.6055685876910486E+000                  6.2124222015958874E-001                  8.5000496627254174E-001                  1.2966653545593159E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.5436627115084519E-003                  8.5951420554398871E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.5436627115084506E-003                  8.5951420554398906E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
