                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2555871029255217E+003   0.0000000000000000E+000                         0                         0                         1                         1
  0.3984586683363030E+003   0.0000000000000000E+000                         0                         0                         2                         2
  0.5268073158489426E+003   0.0000000000000000E+000                         0                         0                         3                         3
  0.6673942998283347E+003   0.0000000000000000E+000                         0                         0                         4                         4
  0.8090157159482321E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.9529626683042966E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.1094918999890792E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.1237495167552132E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1378649103453844E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.1517341528667290E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1653187235098621E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1785873214052813E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.1918527303258666E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.2051856703337274E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2185147694175526E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2317627281354066E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.2448758708542194E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.2580180697888508E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.2712606436214531E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.2845721909574853E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.2979318485858153E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.3112727362136784E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.3246300883208163E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.3380279976406742E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.3514551059342286E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.3649298231682024E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.3784176580667696E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.3919235389555196E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.4054423072471707E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.4189572480931426E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.4324834175108927E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.4459922367266604E+004   0.0000000000000000E+000                         0                         0                        32                        32
  0.4594741970070211E+004   0.0000000000000000E+000                         0                         0                        33                        33
  0.4728794393084613E+004   0.0000000000000000E+000                         0                         0                        34                        34
  0.4859342614696929E+004   0.0000000000000000E+000                         0                         0                        35                        35
  0.4991787069827727E+004   0.0000000000000000E+000                         0                         0                        36                        36
  0.5122528084978202E+004   0.0000000000000000E+000                         0                         0                        37                        37
  0.5250820255547934E+004   0.0000000000000000E+000                         0                         0                        38                        38
  0.5376020082150339E+004   0.0000000000000000E+000                         0                         0                        39                        39
  0.5498484648634192E+004   0.0000000000000000E+000                         0                         0                        40                        40
  0.5620620506077052E+004   0.0000000000000000E+000                         0                         0                        41                        41
  0.5745043357929264E+004   0.0000000000000000E+000                         0                         0                        42                        42
  0.5872649698455058E+004   0.0000000000000000E+000                         0                         0                        43                        43
  0.6003022921170499E+004   0.0000000000000000E+000                         0                         0                        44                        44
  0.6135265864724472E+004   0.0000000000000000E+000                         0                         0                        45                        45
  0.6268779545006707E+004   0.0000000000000000E+000                         0                         0                        46                        46
  0.6403131831929657E+004   0.0000000000000000E+000                         0                         0                        47                        47
  0.6537981496471016E+004   0.0000000000000000E+000                         0                         0                        48                        48
  0.6673220946326644E+004   0.0000000000000000E+000                         0                         0                        49                        49
  0.6808647291104324E+004   0.0000000000000000E+000                         0                         0                        50                        50
  0.6944203144407245E+004   0.0000000000000000E+000                         0                         0                        51                        51
  0.7079807288209051E+004   0.0000000000000000E+000                         0                         0                        52                        52
  0.7215355365518227E+004   0.0000000000000000E+000                         0                         0                        53                        53
