                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.2"                                 "CRMATH"                               "20241030"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                              cz_bot_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      705                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  2.0160833525328600E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  2.0160833525328600E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671758892057E+000                  2.9036294950352332E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671758892057E+000                  2.9036294950352332E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209246925467E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209246925467E+000                 -5.1063209247379291E+000                 -1.5087224734470965E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642677215947433E+003                  3.6399113840897637E+000                  1.2149086247834946E+000                  8.4543615181563267E-002                  1.9279785610414506E+000                  2.8510220027575212E-001                  3.8678632267516289E+000                  0.0000000000000000E+000                  1.4816792332782187E+001                  8.6741248402065194E-002                  6.6055685777406827E+000                  6.2124222016548514E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                       5                                      705                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2434008631932593E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2434008631932593E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671762699400E+000                  2.9036294944920665E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671762699400E+000                  2.9036294944920665E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209246623904E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209246623904E+000                 -5.1063209247077728E+000                 -1.5087224734906574E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642724332772259E+003                  3.6399118529557288E+000                  1.2149138740638019E+000                  8.4545491642475559E-002                  1.9279785632545696E+000                  2.8510220077427706E-001                  3.8678632257545789E+000                  0.0000000000000000E+000                  1.4816792332807006E+001                  8.6741248420150463E-002                  6.6055685777473911E+000                  6.2124222016548125E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                      10                                      705                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432074906975950E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432074906975950E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671733379780E+000                  2.9036294912610972E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671733379780E+000                  2.9036294912610972E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209246035832E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209246035832E+000                 -5.1063209246489647E+000                 -1.5087224738053383E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642708095641656E+003                  3.6399116913778795E+000                  1.2149120615352786E+000                  8.4544843718585685E-002                  1.9279785596753753E+000                  2.8510219996803138E-001                  3.8678632273670703E+000                  0.0000000000000000E+000                  1.4816792332906868E+001                  8.6741248489253742E-002                  6.6055685777780164E+000                  6.2124222016546304E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                      15                                      705                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431361800105685E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431361800105685E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671720476380E+000                  2.9036294763855902E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671720476380E+000                  2.9036294763855902E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209246278101E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209246278101E+000                 -5.1063209246731915E+000                 -1.5087224754808243E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702885750477E+003                  3.6399116395335458E+000                  1.2149114795221225E+000                  8.4544635666356518E-002                  1.9279785581773294E+000                  2.8510219963058309E-001                  3.8678632280419669E+000                  0.0000000000000000E+000                  1.4816792333278284E+001                  8.6741248734997722E-002                  6.6055685779029840E+000                  6.2124222016538688E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                      20                                      705                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431447707434793E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431447707434793E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671716860912E+000                  2.9036294388394374E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671716860912E+000                  2.9036294388394374E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209249942654E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209249942654E+000                 -5.1063209250396477E+000                 -1.5087224808730673E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702142924645E+003                  3.6399116321415845E+000                  1.2149113963149554E+000                  8.4544605922284299E-002                  1.9279785577861650E+000                  2.8510219954246979E-001                  3.8678632282181935E+000                  0.0000000000000000E+000                  1.4816792334386021E+001                  8.6741249456709163E-002                  6.6055685782867508E+000                  6.2124222016515196E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                      25                                      705                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432839752275784E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432839752275784E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671710750673E+000                  2.9036293942108327E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671710750673E+000                  2.9036293942108327E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209255570907E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209255570907E+000                 -5.1063209256024722E+000                 -1.5087224907261730E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702375337030E+003                  3.6399116344543518E+000                  1.2149114214358869E+000                  8.4544614902265780E-002                  1.9279785571844383E+000                  2.8510219940692549E-001                  3.8678632284892820E+000                  0.0000000000000000E+000                  1.4816792336754164E+001                  8.6741251019332444E-002                  6.6055685790877456E+000                  6.2124222016466413E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                      30                                      705                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2439227379671625E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2439227379671625E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671689721610E+000                  2.9036293582926842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671689721610E+000                  2.9036293582926842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209249654422E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209249654431E+000                 -5.1063209250108246E+000                 -1.5087225022774740E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702477265839E+003                  3.6399116354686596E+000                  1.2149114301406996E+000                  8.4544618013975836E-002                  1.9279785550857003E+000                  2.8510219893416588E-001                  3.8678632294348012E+000                  0.0000000000000000E+000                  1.4816792341083898E+001                  8.6741253968817003E-002                  6.6055685804611333E+000                  6.2124222016383746E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861288E-003                  9.3805276451495428E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                                        0                                        2 
                                      35                                      705                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2468469748235308E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2468469748235308E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671633597060E+000                  2.9036293285727521E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671633597060E+000                  2.9036293285727521E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063209188258369E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209188258369E+000                 -5.1063209188712184E+000                 -1.5087225101218841E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702485385498E+003                  3.6399116355494594E+000                  1.2149114239721652E+000                  8.4544615808909387E-002                  1.9279785494737907E+000                  2.8510219767003286E-001                  3.8678632319630672E+000                  0.0000000000000000E+000                  1.4816792349074959E+001                  8.6741259636637258E-002                  6.6055685827751507E+000                  6.2124222016246955E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607861271E-003                  9.3805276451495410E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        2 
                                      40                                      705                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2605825536589088E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2605825536589088E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671492219397E+000                  2.9036292933564378E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671492219397E+000                  2.9036292933564378E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530022E-002                 -5.1063208946280714E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063208946280714E+000                 -5.1063208946734528E+000                 -1.5087225076121120E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702457943114E+003                  3.6399116352763765E+000                  1.2149114030979855E+000                  8.4544608347014660E-002                  1.9279785353354788E+000                  2.8510219448525115E-001                  3.8678632383326308E+000                  0.0000000000000000E+000                  1.4816792365121362E+001                  8.6741271434741210E-002                  6.6055685870113248E+000                  6.2124222016001729E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861262E-003                  9.3805276451495393E-003                  6.9999999999999962E-001                  2.7997020236474901E-001                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                                        0                                        2 
