                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     140                                      716                  1.0000000000000000E+000                  2.0000000000000000E-002                  5.2706568408736000E+006                  6.8226380200653803E+005                  4.2431066514561871E+003                  4.9824804449152205E-001                  1.3061951483453627E+000                 -3.1578028932635172E+000                  6.9999980176120102E-001                  2.9995873946160832E-005                  2.7997020236483211E-001                  3.4468833606612005E-003                  1.0103427410793301E-003                  9.3805276451495497E-003                  2.0850244238750366E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.9999997980974371E-001                  2.9817825504839862E-005                  2.7997020236475118E-001                  3.4468833607831585E-003                  1.0103427409370700E-003                  9.3805276451495393E-003                  2.0850244238750353E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4940638433121985E+004                  3.6184888526035592E+007                  2.0070324631590511E+010                  3.2798070250602385E-004                  3.2798070250602391E-004                  0.0000000000000000E+000                  1.3131647109640102E-005                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.6632928032155272E+014                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.2"                                 "CRMATH"                               "20241030"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   csound                                       pp                                      cno                                tri_alpha                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                              mixing_type                                 brunt_N2                                 lamb_Sl1                                 lamb_Sl2 
                                       1                  1.0000000000000000E+000                  1.1600806630978601E-001                  3.6277986933662989E+000                 -6.5643113461833353E+000                  4.8629352214020738E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061951483453627E+000                  6.1427158859584853E+005                  4.0026969536032690E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.5415695988719232E-004                  1.5214773396796961E+000                  2.6352760548899639E+000 
                                       2                  9.9999999999899991E-001                  1.1600773049331174E-001                  3.6280573556877553E+000                 -6.5625252966714855E+000                  4.8649932950605033E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061941383355695E+000                  6.1458795613017573E+005                  4.0192003460012545E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.5368119402283918E-004                  1.5218267851310616E+000                  2.6358813121662026E+000 
                                       3                  9.9999999999775002E-001                  1.1600731244440372E-001                  3.6283462341873012E+000                 -6.5605538803828747E+000                  4.8672686715240951E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061928810026004E+000                  6.1494275117283897E+005                  4.0374955932267316E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.5248923952934201E-004                  1.5227029798990772E+000                  2.6373989260217319E+000 
                                       4                  9.9999999999650002E-001                  1.1600689628766969E-001                  3.6287816907003130E+000                 -6.5576214337076157E+000                  4.8706595517550646E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061916293617770E+000                  6.1548002501631528E+005                  4.0648636709747411E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.5129287600916652E-004                  1.5235874215629219E+000                  2.6389308239198419E+000 
                                       5                  9.9999999999400002E-001                  1.1600606957167202E-001                  3.6296613781944695E+000                 -6.5518450375928214E+000                  4.8773629558861398E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061891429187453E+000                  6.1657460433658736E+005                  4.1193178519134343E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.4888569024613303E-004                  1.5253812195619660E+000                  2.6420377731927012E+000 
                                       6                  9.9999999998900002E-001                  1.1600443797192876E-001                  3.6317549597064671E+000                 -6.5388045340100014E+000                  4.8926134447523042E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061842357095688E+000                  6.1922297109370003E+005                  4.2449490141922986E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.4400927986677291E-004                  1.5290686057616107E+000                  2.6484245134376150E+000 
                                       7                  9.9999999997650002E-001                  1.1600047955515427E-001                  3.6349046778340761E+000                 -6.5212418842350557E+000                  4.9135115858917677E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061723304281490E+000                  6.2333201951630239E+005                  4.4202239237018391E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.3155025138021192E-004                  1.5388570159089423E+000                  2.6653785371381153E+000 
                                       8                  9.9999999996400013E-001                  1.1599667791935651E-001                  3.6398629233069504E+000                 -6.4969241456346527E+000                  4.9430872958897796E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061608967812504E+000                  6.2998238176519773E+005                  4.6749285274679386E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.1867556104589396E-004                  1.5494502925391669E+000                  2.6837266304802960E+000 
                                       9                  9.9999999993899991E-001                  1.1598948841001598E-001                  3.6453383519166431E+000                 -6.4750472825463161E+000                  4.9707784377667350E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061392741757816E+000                  6.3757710491037590E+005                  4.9165879837452584E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  9.2242924734832750E-005                  1.5729991990981345E+000                  2.7245145331031204E+000 
                                      10                  9.9999999992650002E-001                  1.1598607012473082E-001                  3.6491438564537551E+000                 -6.4615528924215972E+000                  4.9883050704730172E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061289937341076E+000                  6.4290903596403799E+005                  5.0718423288373889E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  7.8992614429589407E-005                  1.5858859175171469E+000                  2.7468349841476836E+000 
                                      11                  9.9999999991399990E-001                  1.1598275634213201E-001                  3.6531061642026925E+000                 -6.4488949299186276E+000                  5.0051522451074417E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061190276599370E+000                  6.4848970659376995E+005                  5.2219280552534436E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495410E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  6.5936275567466998E-005                  1.5994134112634788E+000                  2.7702652906154008E+000 
                                      12                  9.9999999990150001E-001                  1.1597953767659624E-001                  3.6572136722387589E+000                 -6.4370073869534670E+000                  5.0213706873460051E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3061093477194892E+000                  6.5427687518165365E+005                  5.3669217465045300E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  5.3395876552876995E-005                  1.6135045796257239E+000                  2.7946719101568167E+000 
                                      13                  9.9999999988900001E-001                  1.1597640584910526E-001                  3.6646057709657844E+000                 -6.4177644109060710E+000                  5.0483732206617020E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3060999290080320E+000                  6.6459371152053936E+005                  5.6102149811883204E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138618E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.1395045051791073E-005                  1.6279853528257251E+000                  2.8197533450721002E+000 
                                      14                  9.9999999985774990E-001                  1.1596891534927790E-001                  3.6758925307037873E+000                 -6.3936538176276221E+000                  5.0842523625609513E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.3060774022264776E+000                  6.8000548278944730E+005                  5.9306810016554290E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138618E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.3680772646455143E-005                  1.6653559068739840E+000                  2.8844810433906836E+000 
                                      15                  9.9999999982650001E-001                  1.1596182900789880E-001                  3.6847744344648148E+000                 -6.3777593269534734E+000                  5.1093428974931907E+000                  6.9999999766624765E-001                  2.8000000233375250E-001                  1.9999999999999796E-002                  1.3060560912607233E+000                  6.9169923290290521E+005                  6.1518935336167392E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999766624765E-001                  2.9799969003611699E-005                  2.7997020236474890E-001                  3.4468833607861275E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                 -1.0931219289468555E-005                  1.7037830747227694E+000                  2.9510388504957565E+000 
                                      16                  9.9999999981087506E-001                  1.1595841304348595E-001                  3.6907706365993649E+000                 -6.3679814102058856E+000                  5.1252996550912124E+000                  6.9999999766624765E-001                  2.8000000233375250E-001                  1.9999999999999796E-002                  1.3060458184532873E+000                  6.9933525757713290E+005                  6.2920594765666956E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999766624765E-001                  2.9799969003611695E-005                  2.7997020236474890E-001                  3.4468833607861275E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        1                 -2.2067270308571232E-005                  1.7229100955521734E+000                  2.9841678223697130E+000 
