                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.2"                                 "CRMATH"                               "20241101"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                              cz_bot_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      696                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.0142623539907888E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.0142623539907888E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673805086251817E+000                  3.0704438938058704E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673805086251817E+000                  3.0704438938058704E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517916766815E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2367517916766815E+000                 -5.2367517916866158E+000                 -1.5877378021393831E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467509034821196E+003                  3.6381647530634260E+000                  1.2455589354704237E+000                  9.5364281646947519E-002                  1.9679125508771842E+000                  2.9400579556111922E-001                  3.8500560361808946E+000                  0.0000000000000000E+000                  1.4780136035995286E+001                  5.9144271611069721E-002                  6.5837099166941755E+000                  6.0307023133411986E-001                  8.6905440756688102E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                       5                                      697                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4711837845460971E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4711837845460971E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673805070800461E+000                  3.0704438937693812E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673805070800461E+000                  3.0704438937693812E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517916330311E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2367517916330311E+000                 -5.2367517916429662E+000                 -1.5877378021260519E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467640183589556E+003                  3.6381660634007731E+000                  1.2455739959426793E+000                  9.5369532815934160E-002                  1.9679125731248859E+000                  2.9400580047091773E-001                  3.8500560263612975E+000                  0.0000000000000000E+000                  1.4780136036013630E+001                  5.9144271625406010E-002                  6.5837099166981838E+000                  6.0307023133411841E-001                  8.6905440756688102E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      10                                      697                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4738900575351092E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4738900575351092E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673805014274865E+000                  3.0704438936608758E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673805014274865E+000                  3.0704438936608758E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517914982793E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2367517914982793E+000                 -5.2367517915082145E+000                 -1.5877378020843254E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467609750948131E+003                  3.6381657593416432E+000                  1.2455704989972955E+000                  9.5368313533723312E-002                  1.9679125662244354E+000                  2.9400579894807183E-001                  3.8500560294069892E+000                  0.0000000000000000E+000                  1.4780136036069241E+001                  5.9144271668324505E-002                  6.5837099167108626E+000                  6.0307023133411364E-001                  8.6905440756688102E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      15                                      697                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4804016033310302E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4804016033310302E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804988621160E+000                  3.0704438933892564E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804988621160E+000                  3.0704438933892564E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517911527006E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2367517911527006E+000                 -5.2367517911626349E+000                 -1.5877378019766271E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467599844022388E+003                  3.6381656603593502E+000                  1.2455693596983111E+000                  9.5367916292869503E-002                  1.9679125632526302E+000                  2.9400579829223039E-001                  3.8500560307186724E+000                  0.0000000000000000E+000                  1.4780136036210767E+001                  5.9144271776995508E-002                  6.5837099167436763E+000                  6.0307023133410087E-001                  8.6905440756688102E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      20                                      697                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4958123349050048E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.4958123349050048E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804981229581E+000                  3.0704438927199051E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804981229581E+000                  3.0704438927199051E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517902809411E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2367517902809411E+000                 -5.2367517902908762E+000                 -1.5877378017038463E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467598015404783E+003                  3.6381656420892239E+000                  1.2455691490706053E+000                  9.5367842852994517E-002                  1.9679125624384295E+000                  2.9400579811254612E-001                  3.8500560310780410E+000                  0.0000000000000000E+000                  1.4780136036566510E+001                  5.9144272049538822E-002                  6.5837099168267841E+000                  6.0307023133406878E-001                  8.6905440756688102E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      25                                      697                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.5323535338048512E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.5323535338048512E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804974462870E+000                  3.0704438910862730E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804974462870E+000                  3.0704438910862730E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517881023637E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2367517881023637E+000                 -5.2367517881122980E+000                 -1.5877378010193555E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467598209510043E+003                  3.6381656440285726E+000                  1.2455691704725940E+000                  9.5367850315258254E-002                  1.9679125617697690E+000                  2.9400579796498089E-001                  3.8500560313731711E+000                  0.0000000000000000E+000                  1.4780136037454334E+001                  5.9144272729269434E-002                  6.5837099170346223E+000                  6.0307023133398885E-001                  8.6905440756688102E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      30                                      697                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.6186504234020765E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.6186504234020765E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804951364677E+000                  3.0704438870955736E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804951364677E+000                  3.0704438870955736E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517826697565E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2367517826697565E+000                 -5.2367517826796908E+000                 -1.5877377993027107E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467598354914207E+003                  3.6381656454813380E+000                  1.2455691842226242E+000                  9.5367855109502006E-002                  1.9679125594660229E+000                  2.9400579745657202E-001                  3.8500560323899888E+000                  0.0000000000000000E+000                  1.4780136039665754E+001                  5.9144274421969109E-002                  6.5837099175527003E+000                  6.0307023133378912E-001                  8.6905440756688113E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      35                                      697                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.7823213994083393E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.7823213994083393E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804889131772E+000                  3.0704438772794901E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804889131772E+000                  3.0704438772794901E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517691351857E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2367517691351857E+000                 -5.2367517691451209E+000                 -1.5877377950007000E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467598372734801E+003                  3.6381656456593876E+000                  1.2455691783885612E+000                  9.5367853075330467E-002                  1.9679125532437274E+000                  2.9400579608338667E-001                  3.8500560351363595E+000                  0.0000000000000000E+000                  1.4780136045168993E+001                  5.9144278634244249E-002                  6.5837099188420654E+000                  6.0307023133329241E-001                  8.6905440756688113E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
                                      40                                      697                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.9384949657546235E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  1.9384949657546235E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804732702733E+000                  3.0704438529696670E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9673804732702733E+000                  3.0704438529696670E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2312627439560806E-002                 -5.2367517354321640E+000                 -9.8999999999999986E+001                 -2.0594978441759018E+001                 -5.2367517354321631E+000                 -5.2367517354420983E+000                 -1.5877377842483057E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3467598345050046E+003                  3.6381656453827831E+000                  1.2455691554127268E+000                  9.5367845064311618E-002                  1.9679125376003681E+000                  2.9400579263108662E-001                  3.8500560420409600E+000                  0.0000000000000000E+000                  1.4780136058859554E+001                  5.9144289113763779E-002                  6.5837099220491462E+000                  6.0307023133205717E-001                  8.6905440756688113E-001                  1.2483840066748901E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3742540167106560E-003                  5.7587451771447069E-003                  7.3810000000000009E-001                  2.4847355459871454E-001                  2.3742540167106569E-003                  5.7587451771447104E-003                  7.3810000000000031E-001                  2.4847355459871465E-001                                        0                                        2 
