                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2662956121292527E+003   0.0000000000000000E+000                         0                         0                         1                         1
  0.4129164360153175E+003   0.0000000000000000E+000                         0                         0                         2                         2
  0.5488530262668207E+003   0.0000000000000000E+000                         0                         0                         3                         3
  0.6987857373576304E+003   0.0000000000000000E+000                         0                         0                         4                         4
  0.8490518666958579E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1001459573989431E+004   0.0000000000000000E+000                         0                         0                         6                         6
  0.1151440899042610E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.1301749152135577E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1450291669566650E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.1596129148829903E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1739165931551378E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1879022164249114E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.2018699900859598E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.2158794618572151E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2298685114193128E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2437848031465312E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.2575781407832233E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.2714023485430374E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.2853153354630958E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.2992819469055631E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.3132948023494546E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.3272941164490742E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.3413169718515178E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.3553869288416554E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.3694853544179610E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.3836300569429025E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.3977870017299000E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.4119642743412644E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.4261599935868162E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.4403516795225651E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.4545550882587245E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.4687441634055497E+004   0.0000000000000000E+000                         0                         0                        32                        32
  0.4829133844719056E+004   0.0000000000000000E+000                         0                         0                        33                        33
  0.4970306503439393E+004   0.0000000000000000E+000                         0                         0                        34                        34
  0.5109004737342287E+004   0.0000000000000000E+000                         0                         0                        35                        35
  0.5246537003797246E+004   0.0000000000000000E+000                         0                         0                        36                        36
  0.5384239071331264E+004   0.0000000000000000E+000                         0                         0                        37                        37
  0.5519571913473529E+004   0.0000000000000000E+000                         0                         0                        38                        38
  0.5651826126222120E+004   0.0000000000000000E+000                         0                         0                        39                        39
  0.5781020640706171E+004   0.0000000000000000E+000                         0                         0                        40                        40
  0.5909243394928932E+004   0.0000000000000000E+000                         0                         0                        41                        41
  0.6039335043137866E+004   0.0000000000000000E+000                         0                         0                        42                        42
  0.6172664917889866E+004   0.0000000000000000E+000                         0                         0                        43                        43
  0.6309034887616182E+004   0.0000000000000000E+000                         0                         0                        44                        44
  0.6447528827484205E+004   0.0000000000000000E+000                         0                         0                        45                        45
  0.6587471430355208E+004   0.0000000000000000E+000                         0                         0                        46                        46
  0.6728386902110107E+004   0.0000000000000000E+000                         0                         0                        47                        47
  0.6869879995685974E+004   0.0000000000000000E+000                         0                         0                        48                        48
  0.7011823165545588E+004   0.0000000000000000E+000                         0                         0                        49                        49
  0.7153993097508890E+004   0.0000000000000000E+000                         0                         0                        50                        50
  0.7296314812661792E+004   0.0000000000000000E+000                         0                         0                        51                        51
  0.7438716629643693E+004   0.0000000000000000E+000                         0                         0                        52                        52
  0.7581073809049407E+004   0.0000000000000000E+000                         0                         0                        53                        53
  0.7723394700406321E+004   0.0000000000000000E+000                         0                         0                        54                        54
  0.7865558778384384E+004   0.0000000000000000E+000                         0                         0                        55                        55
  0.4619178744783780E+003   0.0000000000000000E+000                         1                         0                         1                         2
  0.6145460519811444E+003   0.0000000000000000E+000                         1                         0                         2                         3
  0.7690950953759240E+003   0.0000000000000000E+000                         1                         0                         3                         4
  0.9202518874758865E+003   0.0000000000000000E+000                         1                         0                         4                         5
  0.1070962390467621E+004   0.0000000000000000E+000                         1                         0                         5                         6
  0.1221375705565453E+004   0.0000000000000000E+000                         1                         0                         6                         7
  0.1370153247490342E+004   0.0000000000000000E+000                         1                         0                         7                         8
  0.1518171170861053E+004   0.0000000000000000E+000                         1                         0                         8                         9
  0.1662542713636482E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.1804111418004155E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.1944038171177177E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.2083800884685562E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.2224413595052406E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.2364154544843806E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.2502772343968559E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.2641064130041731E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.2779678785777679E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.2919399158928996E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.3059489370703294E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.3199623175835591E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.3339966642608751E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.3480414800642839E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.3621430500809227E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.3762763559979451E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.3904299564797663E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.4046149391527517E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.4188023902231266E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.4330083243272677E+004   0.0000000000000000E+000                         1                         0                        28                        29
  0.4472145734707204E+004   0.0000000000000000E+000                         1                         0                        29                        30
  0.4614140681088452E+004   0.0000000000000000E+000                         1                         0                        30                        31
  0.4756086599039330E+004   0.0000000000000000E+000                         1                         0                        31                        32
  0.4897589836129451E+004   0.0000000000000000E+000                         1                         0                        32                        33
  0.5038195008117383E+004   0.0000000000000000E+000                         1                         0                        33                        34
  0.5174941853689581E+004   0.0000000000000000E+000                         1                         0                        34                        35
  0.5313572908549333E+004   0.0000000000000000E+000                         1                         0                        35                        36
  0.5450320525156566E+004   0.0000000000000000E+000                         1                         0                        36                        37
  0.5584230285130800E+004   0.0000000000000000E+000                         1                         0                        37                        38
  0.5714917173123737E+004   0.0000000000000000E+000                         1                         0                        38                        39
  0.5843343083557248E+004   0.0000000000000000E+000                         1                         0                        39                        40
  0.5972161204093097E+004   0.0000000000000000E+000                         1                         0                        40                        41
  0.6103840967181766E+004   0.0000000000000000E+000                         1                         0                        41                        42
  0.6238781238381833E+004   0.0000000000000000E+000                         1                         0                        42                        43
  0.6376296014914863E+004   0.0000000000000000E+000                         1                         0                        43                        44
  0.6515637682930474E+004   0.0000000000000000E+000                         1                         0                        44                        45
  0.6656106597093355E+004   0.0000000000000000E+000                         1                         0                        45                        46
  0.6797379400836643E+004   0.0000000000000000E+000                         1                         0                        46                        47
  0.6939151115301725E+004   0.0000000000000000E+000                         1                         0                        47                        48
  0.7081228015440583E+004   0.0000000000000000E+000                         1                         0                        48                        49
  0.7223541772017540E+004   0.0000000000000000E+000                         1                         0                        49                        50
  0.7365914465272305E+004   0.0000000000000000E+000                         1                         0                        50                        51
  0.7508338382008975E+004   0.0000000000000000E+000                         1                         0                        51                        52
  0.7650711770549753E+004   0.0000000000000000E+000                         1                         0                        52                        53
  0.7792970765526366E+004   0.0000000000000000E+000                         1                         0                        53                        54
  0.7935098786172442E+004   0.0000000000000000E+000                         1                         0                        54                        55
  0.5146427430808028E+002   0.0000000000000000E+000                         2                        19                         0                       -19
  0.3262522628929169E+003   0.0000000000000000E+000                         2                         0                         0                         0
  0.3838405468359701E+003   0.0000000000000000E+000                         2                         0                         1                         1
  0.5283117991183622E+003   0.0000000000000000E+000                         2                         0                         2                         2
  0.6828933442905466E+003   0.0000000000000000E+000                         2                         0                         3                         3
  0.8352831362042679E+003   0.0000000000000000E+000                         2                         0                         4                         4
  0.9878356029139732E+003   0.0000000000000000E+000                         2                         0                         5                         5
  0.1137575063382676E+004   0.0000000000000000E+000                         2                         0                         6                         6
  0.1287885617132827E+004   0.0000000000000000E+000                         2                         0                         7                         7
  0.1436237494672526E+004   0.0000000000000000E+000                         2                         0                         8                         8
  0.1582494373875930E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.1725866037769931E+004   0.0000000000000000E+000                         2                         0                        10                        10
  0.1866060339283001E+004   0.0000000000000000E+000                         2                         0                        11                        11
  0.2006037107502228E+004   0.0000000000000000E+000                         2                         0                        12                        12
  0.2146301936004321E+004   0.0000000000000000E+000                         2                         0                        13                        13
  0.2286632041732820E+004   0.0000000000000000E+000                         2                         0                        14                        14
  0.2426231540535591E+004   0.0000000000000000E+000                         2                         0                        15                        15
  0.2564524827649570E+004   0.0000000000000000E+000                         2                         0                        16                        16
  0.2703109004451164E+004   0.0000000000000000E+000                         2                         0                        17                        17
  0.2842471373960641E+004   0.0000000000000000E+000                         2                         0                        18                        18
  0.2982459836478436E+004   0.0000000000000000E+000                         2                         0                        19                        19
  0.3122921590458904E+004   0.0000000000000000E+000                         2                         0                        20                        20
  0.3263211082457521E+004   0.0000000000000000E+000                         2                         0                        21                        21
  0.3403758687698112E+004   0.0000000000000000E+000                         2                         0                        22                        22
  0.3544708422649407E+004   0.0000000000000000E+000                         2                         0                        23                        23
  0.3685961837785399E+004   0.0000000000000000E+000                         2                         0                        24                        24
  0.3827671454159468E+004   0.0000000000000000E+000                         2                         0                        25                        25
  0.3969471652145115E+004   0.0000000000000000E+000                         2                         0                        26                        26
  0.4111496195846688E+004   0.0000000000000000E+000                         2                         0                        27                        27
  0.4253669167245082E+004   0.0000000000000000E+000                         2                         0                        28                        28
  0.4395808535628959E+004   0.0000000000000000E+000                         2                         0                        29                        29
  0.4538057895008413E+004   0.0000000000000000E+000                         2                         0                        30                        30
  0.4680144607773068E+004   0.0000000000000000E+000                         2                         0                        31                        31
  0.4822051830768370E+004   0.0000000000000000E+000                         2                         0                        32                        32
  0.4963436894604270E+004   0.0000000000000000E+000                         2                         0                        33                        33
  0.5102631043589584E+004   0.0000000000000000E+000                         2                         0                        34                        34
  0.5240083318270037E+004   0.0000000000000000E+000                         2                         0                        35                        35
  0.5378011399358473E+004   0.0000000000000000E+000                         2                         0                        36                        36
  0.5513608215920633E+004   0.0000000000000000E+000                         2                         0                        37                        37
  0.5646126728943296E+004   0.0000000000000000E+000                         2                         0                        38                        38
  0.5775533956916212E+004   0.0000000000000000E+000                         2                         0                        39                        39
  0.5903848869354850E+004   0.0000000000000000E+000                         2                         0                        40                        40
  0.6033920493071158E+004   0.0000000000000000E+000                         2                         0                        41                        41
  0.6167222623701560E+004   0.0000000000000000E+000                         2                         0                        42                        42
  0.6303597003995716E+004   0.0000000000000000E+000                         2                         0                        43                        43
  0.6442123413069025E+004   0.0000000000000000E+000                         2                         0                        44                        44
  0.6582129055151776E+004   0.0000000000000000E+000                         2                         0                        45                        45
  0.6723114280634838E+004   0.0000000000000000E+000                         2                         0                        46                        46
