                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.2"                                 "CRMATH"                               "20241101"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                              cz_bot_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      704                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999923274996E-001                  3.0247432782586368E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999923274996E-001                  3.0247432782586368E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958527813563226E+000                  3.4096911271718106E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958527813563226E+000                  3.4096911271718106E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488399826668E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0748488399826668E+000                 -5.0748488400115042E+000                 -1.5252673958822026E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210032363835571E+003                  3.6355845915931075E+000                  1.1293842654788733E+000                  5.2841732875535508E-002                  1.8962903898949557E+000                  2.7790484411604982E-001                  3.8822579390710334E+000                  0.0000000000000000E+000                  1.4844516444154241E+001                  1.0820457324676575E-001                  6.6002257230338373E+000                  6.0473933831094040E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                       5                                      703                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388834340023E+000                  3.4096911271406305E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388834340023E+000                  3.4096911271406305E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488399457141E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0748488399457141E+000                 -5.0748488399745515E+000                 -1.5252673958707897E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210031571127720E+003                  3.6355845836257763E+000                  1.1293841780272287E+000                  5.2841699246796991E-002                  1.8962903860538280E+000                  2.7790484323634246E-001                  3.8822579408304478E+000                  0.0000000000000000E+000                  1.4844516444170010E+001                  1.0820457325922705E-001                  6.6002257230371439E+000                  6.0473933831093907E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      10                                      703                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388794781833E+000                  3.4096911270457564E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388794781833E+000                  3.4096911270457564E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488398296487E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.0748488398296487E+000                 -5.0748488398584861E+000                 -1.5252673958343951E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210010082536510E+003                  3.6355843676486392E+000                  1.1293819257604418E+000                  5.2840833157089283E-002                  1.8962903812919576E+000                  2.7790484214576372E-001                  3.8822579430116058E+000                  0.0000000000000000E+000                  1.4844516444218380E+001                  1.0820457329691754E-001                  6.6002257230478190E+000                  6.0473933831093407E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      15                                      703                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388775234163E+000                  3.4096911268036528E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388775234163E+000                  3.4096911268036528E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488395309357E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.0748488395309357E+000                 -5.0748488395597731E+000                 -1.5252673957402054E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210002263284841E+003                  3.6355842890590218E+000                  1.1293811055942591E+000                  5.2840517768850265E-002                  1.8962903790437746E+000                  2.7790484163087764E-001                  3.8822579440413776E+000                  0.0000000000000000E+000                  1.4844516444341860E+001                  1.0820457339253398E-001                  6.6002257230756589E+000                  6.0473933831092119E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      20                                      703                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3600115292314880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388769819530E+000                  3.4096911261931490E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388769819530E+000                  3.4096911261931490E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488387766555E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0748488387766555E+000                 -5.0748488388054929E+000                 -1.5252673955019208E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210000842983754E+003                  3.6355842747838794E+000                  1.1293809563959847E+000                  5.2840460395841948E-002                  1.8962903784489940E+000                  2.7790484149465911E-001                  3.8822579443138148E+000                  0.0000000000000000E+000                  1.4844516444652538E+001                  1.0820457363249379E-001                  6.6002257231463046E+000                  6.0473933831088844E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      25                                      703                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0792307751955322E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0792307751955322E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388764376475E+000                  3.4096911246650835E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388764376475E+000                  3.4096911246650835E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488368908005E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -5.0748488368908005E+000                 -5.0748488369196378E+000                 -1.5252673949059156E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210001058186008E+003                  3.6355842769468314E+000                  1.1293809782563013E+000                  5.2840468802053120E-002                  1.8962903779128113E+000                  2.7790484137186083E-001                  3.8822579445594112E+000                  0.0000000000000000E+000                  1.4844516445428480E+001                  1.0820457423128325E-001                  6.6002257233232751E+000                  6.0473933831080662E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      30                                      703                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0358242729171647E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0358242729171647E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388744979813E+000                  3.4096911208526370E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388744979813E+000                  3.4096911208526370E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488321870964E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0748488321870964E+000                 -5.0748488322159337E+000                 -1.5252673934193188E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210001188268034E+003                  3.6355842782542580E+000                  1.1293809895516349E+000                  5.2840473145583870E-002                  1.8962903759781267E+000                  2.7790484092877316E-001                  3.8822579454455868E+000                  0.0000000000000000E+000                  1.4844516447362828E+001                  1.0820457572337741E-001                  6.6002257237650666E+000                  6.0473933831060211E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      35                                      703                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0273541435799356E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0273541435799356E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388692644284E+000                  3.4096911113579048E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388692644284E+000                  3.4096911113579048E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748488204736759E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0748488204736759E+000                 -5.0748488205025133E+000                 -1.5252673897175463E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210001204051832E+003                  3.6355842784128978E+000                  1.1293809849688463E+000                  5.2840471383308947E-002                  1.8962903707453955E+000                  2.7790483973035635E-001                  3.8822579478424202E+000                  0.0000000000000000E+000                  1.4844516452179210E+001                  1.0820457943806236E-001                  6.6002257248656120E+000                  6.0473933831009241E-001                  8.6750439869853713E-001                  1.2530715108733237E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
                                      40                                      703                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0254732336319461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0254732336319461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388561016983E+000                  3.4096910877240649E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8958388561016983E+000                  3.4096910877240649E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3600115292314880E-002                 -5.0748487913163736E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.0748487913163736E+000                 -5.0748487913452109E+000                 -1.5252673805032325E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3210001178799603E+003                  3.6355842781590928E+000                  1.1293809666496002E+000                  5.2840464338788383E-002                  1.8962903575823133E+000                  2.7790483671570521E-001                  3.8822579538717226E+000                  0.0000000000000000E+000                  1.4844516464167613E+001                  1.0820458868357440E-001                  6.6002257276056095E+000                  6.0473933830882365E-001                  8.6750439869853713E-001                  1.2530715108733241E+000                  7.3499999999999999E-001                  2.4797360780877761E-001                  2.9298508566682124E-003                  7.9734484983770577E-003                  7.3499999999999965E-001                  2.4797360780877778E-001                  2.9298508566682146E-003                  7.9734484983770646E-003                  7.3500000000000043E-001                  2.4797360780877756E-001                                        0                                        2 
